pool,序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,涨停价,涨速,振幅,是否新高,量比,入选理由,昨日封板时间,昨日连板数
zt,1,002912,中新赛克,10.015467643737793,28.45,1064018128,4615239684.2,4857894400.0,23.267717361450195,63104347.0,092500,140933,5.0,4/4,4.0,计算机设,,,,,,,,
zt,2,002232,启明信息,10.013089179992676,16.81,160198942,6867699528.549999,6867699410.879999,2.3327391147613525,92903827.0,093000,093000,0.0,2/2,2.0,IT服务Ⅱ,,,,,,,,
zt,3,002882,金龙羽,9.990618705749512,23.45,141441108,5791916391.099999,10151505000.0,2.4515860080718994,122850493.0,093006,093006,0.0,1/1,1.0,电网设备,,,,,,,,
zt,4,001216,华瓷股份,9.973226547241211,16.43,74941480,4055518749.5699997,4796875460.48,1.8574665784835815,20752733.0,093015,093015,0.0,1/1,1.0,家居用品,,,,,,,,
zt,5,000993,闽东电力,10.019646644592285,16.8,2210807024,7693584444.0,7693584460.8,29.241926193237305,13642725.0,093054,144651,28.0,5/5,5.0,电力,,,,,,,,
zt,6,688004,博汇科技,19.982471466064453,27.38,342112640,2192809440.0,2192809440.0,15.703225135803223,36193293.0,093100,093842,2.0,2/2,2.0,IT服务Ⅱ,,,,,,,,
zt,7,603186,华正新材,10.0,251.57,2483687312,39443790613.26,39443790613.26,6.348108291625977,292393521.0,093107,094139,1.0,1/1,1.0,元件,,,,,,,,
zt,8,603200,上海洗霸,10.002762794494629,39.81,203153339,6985862900.43,6985862900.43,2.947615146636963,78610816.0,093327,093327,0.0,1/1,1.0,环境治理,,,,,,,,
zt,9,002362,汉王科技,9.993715286254883,17.5,223167956,3634271760.0,4277956305.0,6.274034023284912,105123305.0,093545,093600,1.0,1/1,1.0,软件开发,,,,,,,,
zt,10,002585,双星新材,10.03649616241455,12.06,2331857904,10692296963.28,13764350652.480001,22.252145767211914,154000025.0,093621,094609,1.0,3/3,3.0,塑料,,,,,,,,
zt,11,605058,澳弘电子,9.989082336425781,40.3,745090944,5759882336.0,5759882336.0,13.08224105834961,5758870.0,093705,144147,38.0,3/3,3.0,元件,,,,,,,,
zt,12,601579,会稽山,9.9957275390625,25.75,506525824,12346182781.75,12346182756.0,4.222825050354004,56959000.0,094404,095504,9.0,1/1,1.0,非白酒,,,,,,,,
zt,13,600110,诺德股份,9.97280216217041,12.13,2312286160,21047744705.16,21047744656.640003,11.190329551696777,52594467.0,094714,140420,1.0,1/1,1.0,电池,,,,,,,,
zt,14,002846,英联股份,9.96204948425293,11.59,148830929,3145430973.59,4867726194.88,4.786777973175049,25717051.0,094836,094836,0.0,1/1,1.0,包装印刷,,,,,,,,
zt,15,001223,欧克科技,9.99522876739502,46.11,175279663,3220082628.0,6026245008.0,5.622887134552002,50660734.0,095233,095312,1.0,1/1,1.0,自动化设,,,,,,,,
zt,16,603353,和顺石油,10.007964134216309,41.44,446957824,7062121920.0,7062121920.0,6.4603705406188965,30736048.0,095311,140553,1.0,1/1,1.0,炼化及贸,,,,,,,,
zt,17,603090,宏盛股份,10.013680458068848,40.21,356760816,4021000000.0,4021000000.0,9.158699989318848,31399989.0,095328,095328,0.0,2/2,2.0,通用设备,,,,,,,,
zt,18,002491,通鼎互联,9.995052337646484,22.23,5840461312,26152901335.08,27342777646.08,22.699235916137695,92436786.0,095709,144215,19.0,1/1,1.0,通信设备,,,,,,,,
zt,19,601218,吉鑫科技,9.978768348693848,5.18,391876000,5019593592.16,5019593633.599999,8.075897216796875,55544622.0,101204,101246,1.0,1/1,1.0,风电设备,,,,,,,,
zt,20,002487,大金重工,10.013946533203125,39.44,3052763088,24883495291.039997,29188986160.64,12.805334091186523,148769533.0,101718,103148,2.0,1/1,1.0,风电设备,,,,,,,,
zt,21,002213,大为股份,9.996270179748535,29.49,502558160,6096110841.509999,7090047227.67,8.451873779296875,77374829.0,101915,101915,0.0,1/1,1.0,半导体,,,,,,,,
zt,22,003026,中晶科技,10.0,30.58,624599008,4408439710.4,5797333465.0,14.495855331420898,24225781.0,102506,131924,1.0,1/1,1.0,半导体,,,,,,,,
zt,23,002631,德尔未来,10.021552085876465,10.21,316799552,8103573388.920001,8140258204.800001,4.055418491363525,79347015.0,102851,110924,2.0,1/1,1.0,家居用品,,,,,,,,
zt,24,002531,天顺风能,10.0,7.81,1277484640,13955443758.189999,14033622303.359999,9.74882698059082,101730459.0,104639,104639,0.0,4/2,1.0,风电设备,,,,,,,,
zt,25,605162,新中港,10.0,11.55,684149552,5114874892.05,5114874811.200001,13.909917831420898,7783637.0,104924,142030,5.0,1/1,1.0,电力,,,,,,,,
zt,26,603082,北自科技,10.004568099975586,48.16,686216864,1953220303.9999998,8022160929.44,37.33750915527344,29266832.0,110007,112555,5.0,1/1,1.0,自动化设,,,,,,,,
zt,27,603248,锡华科技,10.011919021606445,18.46,144036302,1319981395.46,8491600000.0,11.170931816101074,19939735.0,110417,144432,2.0,1/1,1.0,风电设备,,,,,,,,
zt,28,603266,天龙股份,9.993425369262695,16.73,154471731,3327375327.5,3327375327.5,4.733145713806152,23592646.0,110946,130240,2.0,1/1,1.0,汽车零部,,,,,,,,
zt,29,600163,中闽能源,9.965035438537598,6.29,1179112064,11969845739.47,11969845745.76,10.243902206420898,10785079.0,111234,143225,11.0,1/1,1.0,电力,,,,,,,,
zt,30,605507,国邦医药,9.987592697143555,17.73,473697088,13871116917.0,13871116846.08,3.505486011505127,8121758.0,131018,131503,1.0,1/1,1.0,化学制药,,,,,,,,
zt,31,002584,西陇科学,10.012674331665039,8.68,545163648,4176289453.8399997,5079678490.88,13.433220863342285,66631152.0,131812,132127,1.0,1/1,1.0,电子化学,,,,,,,,
zt,32,002522,浙江众成,10.03787899017334,5.81,651917664,5259268682.36,5262578267.5199995,12.7656888961792,35409753.0,143654,143654,0.0,1/1,1.0,塑料,,,,,,,,
zbgc,1,000868,安凯客车,2.301790237426758,4.0,421644592,3758055940.0,3758058944.0,10.875589370727539,,092500,,1.0,2/1,,商用车,4.3,0.0,10.230178833007812,,,,,
zbgc,2,603439,三力制药,2.5380709171295166,14.14,965516352,5710300654.24,5710300767.360001,16.500661849975586,,092500,,1.0,3/2,,中药Ⅱ,15.17,0.0,11.530094146728516,,,,,
zbgc,3,600697,欧亚集团,-9.210526466369629,11.04,506242704,1715351205.6,1756332347.9999998,26.260496139526367,,092501,,1.0,2/1,,一般零售,13.38,0.0,19.983552932739258,,,,,
zbgc,4,600666,奥瑞德,4.01146125793457,3.63,1382579696,9335799814.77,9987282132.96,14.294015884399414,,092502,,2.0,0/0,,IT服务Ⅱ,3.84,0.0,6.59025764465332,,,,,
zbgc,5,600088,中视传媒,-2.035278081893921,14.44,914414816,5742880416.0,5742880416.0,14.58906364440918,,093003,,1.0,3/2,,影视院线,16.21,0.0,12.211668968200684,,,,,
zbgc,6,002842,翔鹭钨业,9.058403015136719,36.6,2219531760,9825711359.4,11974510425.6,22.69144058227539,,093039,,1.0,0/0,,小金属,36.92,0.0,4.410012245178223,,,,,
zbgc,7,000981,山子高科,5.964911937713623,3.02,4627797248,28730335400.86,30192362347.52,15.74440860748291,,093112,,7.0,2/1,,汽车零部,3.14,0.0,4.912280559539795,,,,,
zbgc,8,002212,天融信,5.0,7.77,2778129936,9066418151.91,9164356585.439999,29.59052848815918,,093127,,6.0,2/1,,软件开发,8.14,0.0,5.270270347595215,,,,,
zbgc,9,002741,光华科技,3.0528054237365723,24.98,1100517552,10742064343.1,11705685553.92,10.111231803894043,,093227,,1.0,0/0,,电子化学,26.66,0.0,10.684819221496582,,,,,
zbgc,10,600792,云煤能源,7.085020065307617,5.29,1089108512,5871495844.0,5871495844.0,18.422542572021484,,093415,,6.0,6/3,,焦炭Ⅱ,5.43,0.0,9.514169692993164,,,,,
zbgc,11,000823,超声电子,5.6120195388793945,23.9,5794333952,14218878791.3,14219422396.8,40.42097091674805,,093618,,1.0,7/4,,元件,24.89,0.0,9.235527992248535,,,,,
zbgc,12,603138,海量数据,5.46875,14.85,650551840,4281891322.5,4360118954.4,14.865653038024902,,093744,,3.0,0/0,,IT服务Ⅱ,15.49,0.0,9.80113697052002,,,,,
zbgc,13,600488,津药药业,3.5653650760650635,6.1,1540873184,6660508748.0,6660508796.799999,22.429155349731445,,094140,,4.0,4/2,,化学制药,6.48,0.0,8.488964080810547,,,,,
zbgc,14,603000,人民网,3.9831020832061768,17.23,1321013568,19051056894.88,19051056894.88,6.774648666381836,,094423,,1.0,0/0,,数字媒体,18.23,0.0,7.905854225158691,,,,,
zbgc,15,603386,骏亚科技,8.115942001342773,18.65,1134549520,6085915744.0,6085915744.0,18.77672004699707,,094716,,7.0,0/0,,元件,18.98,0.0,11.768115997314453,,,,,
zbgc,16,002886,沃特股份,5.958958148956299,26.85,1466242608,5613748703.400001,7067015720.25,26.015605926513672,,094939,,1.0,0/0,,塑料,27.87,0.0,11.325966835021973,,,,,
zbgc,17,603256,宏和科技,5.785566329956055,138.23,4588322816,125040984292.34999,125040984707.04,3.6261589527130127,,095209,,1.0,0/0,,玻璃玻纤,143.74,0.0,9.749751091003418,,,,,
zbgc,18,301373,凌玮科技,11.518112182617188,109.6,1586829168,7634233703.2,11888541173.599998,20.515663146972656,,095736,,1.0,0/0,,化学制品,117.94,0.0,16.72771644592285,,,,,
zbgc,19,688216,气派科技,15.932520866394043,37.11,725775872,3942630266.31,4245544352.31,18.6313419342041,,101731,,1.0,0/0,,半导体,38.41,0.0,13.651983261108398,,,,,
zbgc,20,300905,宝丽迪,15.52706527709961,40.55,982068944,5649751981.45,7259086472.799999,17.551904678344727,,101930,,2.0,0/0,,化学纤维,42.12,0.0,20.541309356689453,,,,,
zbgc,21,688797,臻宝科技,12.336518287658691,274.0,1965379040,7998799252.0,42549541104.0,24.498178482055664,,102453,,1.0,0/0,,半导体,292.69,0.0,21.11434555053711,,,,,
zbgc,22,603637,镇海股份,4.9783549308776855,14.55,237864508,3472879510.3500004,3472879510.3500004,6.778222560882568,,103105,,2.0,0/0,,专业工程,15.25,0.0,10.966811180114746,,,,,
zbgc,23,301662,宏工科技,15.030674934387207,67.5,611935456,3009961215.0,7830000000.0,20.71253204345703,,103400,,1.0,0/0,,电池,70.42,0.0,19.461484909057617,,,,,
zbgc,24,000859,国风新材,6.394708156585693,9.65,1151343344,8645635440.15,8646171024.800001,13.384759902954102,,134336,,3.0,0/0,,塑料,9.98,0.0,12.017640113830566,,,,,
strong,1,688004,博汇科技,19.982471466064453,27.38,342112640,2192809440.0,2192809440.0,15.703225135803223,,,,,2/2,,IT服务Ⅱ,27.38,0.0,,是,6.02292013168335,60日新高且近期多次涨停,,
strong,2,301061,匠心家居,12.541620254516602,40.56,365690608,7659336447.360001,11535167304.960001,4.846002101898193,,,,,0/0,,家居用品,43.25,0.0,,是,3.372666597366333,60日新高,,
strong,3,002585,双星新材,10.03649616241455,12.06,2331857904,10692296963.28,13764350652.480001,22.252145767211914,,,,,3/3,,塑料,12.06,0.0,,否,3.2869856357574463,近期多次涨停,,
strong,4,000993,闽东电力,10.019646644592285,16.8,2210807024,7693584444.0,7693584460.8,29.241926193237305,,,,,5/5,,电力,16.8,0.0,,是,3.3403749465942383,60日新高且近期多次涨停,,
strong,5,002912,中新赛克,10.015467643737793,28.45,1064018128,4615239684.2,4857894400.0,23.267717361450195,,,,,4/4,,计算机设,28.45,0.0,,是,9.109456062316895,60日新高且近期多次涨停,,
strong,6,603090,宏盛股份,10.013680458068848,40.21,356760816,4021000000.0,4021000000.0,9.158699989318848,,,,,2/2,,通用设备,40.21,0.0,,否,1.0879017114639282,近期多次涨停,,
strong,7,002232,启明信息,10.013089179992676,16.81,160198942,6867699528.549999,6867699410.879999,2.3327391147613525,,,,,2/2,,IT服务Ⅱ,16.81,0.0,,是,2.680022716522217,60日新高且近期多次涨停,,
strong,8,002531,天顺风能,10.0,7.81,1277484640,13955443758.189999,14033622303.359999,9.74882698059082,,,,,4/2,,风电设备,7.81,0.0,,否,1.7202578783035278,近期多次涨停,,
strong,9,002362,汉王科技,9.993715286254883,17.5,223167956,3634271760.0,4277956305.0,6.274034023284912,,,,,1/1,,软件开发,17.5,0.0,,是,2.67756724357605,60日新高,,
strong,10,605058,澳弘电子,9.989082336425781,40.3,745090944,5759882336.0,5759882336.0,13.08224105834961,,,,,3/3,,元件,40.3,0.0,,是,2.5525002479553223,60日新高且近期多次涨停,,
strong,11,605507,国邦医药,9.987592697143555,17.73,473697088,13871116917.0,13871116846.08,3.505486011505127,,,,,1/1,,化学制药,17.73,0.0,,是,7.064547061920166,60日新高,,
strong,12,601218,吉鑫科技,9.978768348693848,5.18,391876000,5019593592.16,5019593633.599999,8.075897216796875,,,,,1/1,,风电设备,5.18,0.0,,是,1.983675479888916,60日新高,,
strong,13,600163,中闽能源,9.965035438537598,6.29,1179112064,11969845739.47,11969845745.76,10.243902206420898,,,,,1/1,,电力,6.29,0.0,,是,3.975217819213867,60日新高,,
strong,14,300904,威力传动,9.918200492858887,43.0,161838441,1487078976.0,3112478976.0,10.963310241699219,,,,,0/0,,风电设备,46.94,0.0,,是,6.090671062469482,60日新高,,
strong,15,600792,云煤能源,7.085020065307617,5.29,1089108512,5871495844.0,5871495844.0,18.422542572021484,,,,,6/3,,焦炭Ⅱ,5.43,0.0,,否,1.4235855340957642,近期多次涨停,,
strong,16,300569,天能重工,6.7484660148620605,5.22,384364112,5322562252.0199995,5338630638.719999,7.386351585388184,,,,,0/0,,风电设备,5.87,0.0,,是,3.4667699337005615,60日新高,,
strong,17,603236,移远通信,6.63582706451416,66.85,1901994880,27098660812.3,27098660411.199997,7.161017417907715,,,,,0/0,,通信设备,68.96,0.0,,是,2.5599889755249023,60日新高,,
strong,18,301132,满坤科技,6.0476274490356445,61.9,1335174240,5864451929.8,9166538813.1,22.566059112548828,,,,,2/1,,元件,70.04,0.0,,是,1.8110305070877075,60日新高,,
strong,19,603686,福龙马,5.651845932006836,14.02,918080544,5824334264.08,5824334208.0,15.94700813293457,,,,,0/0,,环境治理,14.6,0.0,,是,3.4159038066864014,60日新高,,
strong,20,000823,超声电子,5.6120195388793945,23.9,5794333952,14218878791.3,14219422396.8,40.42097091674805,,,,,7/4,,元件,24.89,0.0,,否,1.6656750440597534,近期多次涨停,,
strong,21,301366,一博科技,5.32930326461792,66.21,1432985104,7746328995.599999,13873391868.21,18.232351303100586,,,,,0/0,,元件,75.43,0.0,,是,1.5151222944259644,60日新高,,
strong,22,002212,天融信,5.0,7.77,2778129936,9066418151.91,9164356585.439999,29.59052848815918,,,,,2/1,,软件开发,8.14,0.0,,是,5.810777187347412,60日新高,,
strong,23,603000,人民网,3.9831020832061768,17.23,1321013568,19051056894.88,19051056894.88,6.774648666381836,,,,,0/0,,数字媒体,18.23,0.0,,是,2.9712178707122803,60日新高,,
strong,24,603657,春光科技,3.822873592376709,32.59,392908944,4405843729.5,4405843729.5,8.924186706542969,,,,,2/1,,家电零部,34.53,0.0,,是,2.3473246097564697,60日新高,,
strong,25,301251,威尔高,3.7922632694244385,68.15,833041488,11846729854.000002,12850642460.900002,7.0982346534729,,,,,0/0,,元件,78.79,0.0,,是,1.4148248434066772,60日新高,,
